Zeit;Kanal A
(ms);(V)

-5,00009431;0,74956940
-4,99999031;0,79632130
-4,99988631;0,79632130
-4,99978231;0,74956940
-4,99967831;0,74956940
-4,99957431;0,74956940
-4,99947031;0,74956940
-4,99936631;0,74956940
-4,99926231;0,79632130
-4,99915831;0,74956940
-4,99905431;0,74956940
-4,99895031;0,74956940
-4,99884631;0,74956940
-4,99874231;0,74956940
-4,99863831;0,74956940
-4,99853431;0,74956940
-4,99843031;0,74956940
-4,99832631;0,74956940
-4,99822231;0,79632130
-4,99811831;0,74956940
-4,99801431;0,79632130
-4,99791031;0,74956940
-4,99780631;0,74956940
-4,99770231;0,74956940
-4,99759831;0,74956940
-4,99749431;0,79632130
-4,99739031;0,74956940
-4,99728631;0,74956940
-4,99718231;0,79632130
-4,99707831;0,74956940
-4,99697431;0,79632130
-4,99687031;0,79632130
-4,99676631;0,74956940
-4,99666231;0,74956940
-4,99655831;0,79632130
-4,99645431;0,74956940
-4,99635031;0,74956940
-4,99624631;0,74956940
-4,99614231;0,74956940
-4,99603831;0,79632130
-4,99593431;0,74956940
-4,99583031;0,74956940
-4,99572631;0,74956940
-4,99562231;0,74956940
-4,99551831;0,74956940
-4,99541431;0,74956940
-4,99531031;0,74956940
-4,99520631;0,74956940
-4,99510231;0,74956940
-4,99499831;0,74956940
-4,99489431;0,74956940
-4,99479031;0,79632130
-4,99468631;0,74956940
-4,99458231;0,74956940
-4,99447831;0,79632130
-4,99437431;0,74956940
-4,99427031;0,74956940
-4,99416631;0,79632130
-4,99406231;0,74956940
-4,99395831;0,74956940
-4,99385431;0,74956940
-4,99375031;0,74956940
-4,99364631;0,74956940
-4,99354231;0,74956940
-4,99343831;0,74956940
-4,99333431;0,79632130
-4,99323031;0,74956940
-4,99312631;0,74956940
-4,99302231;0,74956940
-4,99291831;0,74956940
-4,99281431;0,74956940
-4,99271031;0,74956940
-4,99260631;0,74956940
-4,99250231;0,74956940
-4,99239831;0,74956940
-4,99229431;0,74956940
-4,99219031;0,74956940
-4,99208631;0,74956940
-4,99198231;0,74956940
-4,99187831;0,74956940
-4,99177431;0,79632130
-4,99167031;0,74956940
-4,99156631;0,74956940
-4,99146231;0,74956940
-4,99135831;0,79632130
-4,99125431;0,74956940
-4,99115031;0,74956940
-4,99104631;0,74956940
-4,99094231;0,74956940
-4,99083831;0,79632130
-4,99073431;0,74956940
-4,99063031;0,79632130
-4,99052631;0,74956940
-4,99042231;0,74956940
-4,99031831;0,74956940
-4,99021431;0,74956940
-4,99011031;0,74956940
-4,99000631;0,79632130
-4,98990231;0,74956940
-4,98979831;0,74956940
-4,98969431;0,74956940
-4,98959031;0,74956940
-4,98948631;0,74956940
-4,98938231;0,74956940
-4,98927831;0,74956940
-4,98917431;0,74956940
-4,98907031;0,74956940
-4,98896631;0,74956940
-4,98886231;0,74956940
-4,98875831;0,74956940
-4,98865431;0,79632130
-4,98855031;0,74956940
-4,98844631;0,74956940
-4,98834231;0,74956940
-4,98823831;0,79632130
-4,98813431;0,74956940
-4,98803031;0,74956940
-4,98792631;0,74956940
