Zeit;Kanal A
(ms);(mV)

-25,00599905;1,88053600
-25,00099905;3,00935000
-24,99599905;3,38582700
-24,99099905;3,00935000
-24,98599905;1,88053600
-24,98099905;2,63348900
-24,97599905;1,88053600
-24,97099905;1,69291300
-24,96599905;1,12819900
-24,96099905;0,75233760
-24,95599905;-0,75233760
-24,95099905;0,00000000
-24,94599905;-0,75233760
-24,94099905;-0,18762300
-24,93599905;-1,50467500
-24,93099905;-2,63348900
-24,92599905;-2,44525100
-24,92099905;-2,06877400
-24,91599905;-1,31643700
-24,91099905;-1,12819900
-24,90599905;-1,31643700
-24,90099905;-1,12819900
-24,89599905;-1,31643700
-24,89099905;-1,31643700
-24,88599905;-1,31643700
-24,88099905;-1,31643700
-24,87599905;-0,56409940
-24,87099906;-1,69291300
-24,86599906;-1,69291300
-24,86099906;-1,88053600
-24,85599906;-2,06877400
-24,85099906;-1,88053600
-24,84599906;-1,31643700
-24,84099906;-1,88053600
-24,83599906;-1,12819900
-24,83099906;-1,31643700
-24,82599906;-1,12819900
-24,82099906;-0,75233760
-24,81599906;-1,12819900
-24,81099906;-0,93996060
-24,80599906;0,18762300
-24,80099906;-1,12819900
-24,79599906;-0,37586120
-24,79099906;-0,75233760
-24,78599906;0,56409940
-24,78099906;0,37586120
-24,77599906;0,18762300
-24,77099906;-0,37586120
-24,76599906;0,00000000
-24,76099906;0,75233760
-24,75599906;0,18762300
-24,75099906;2,82111200
-24,74599906;0,00000000
-24,74099906;0,18762300
-24,73599906;0,93996060
-24,73099906;-0,75233760
-24,72599906;0,37586120
-24,72099906;-0,37586120
-24,71599906;-0,75233760
-24,71099906;-0,56409940
-24,70599906;-0,18762300
-24,70099906;-0,18762300
-24,69599906;0,18762300
-24,69099906;0,00000000
-24,68599906;0,56409940
-24,68099906;0,93996060
-24,67599906;1,50467500
-24,67099906;1,50467500
-24,66599906;1,50467500
-24,66099906;1,88053600
-24,65599906;1,69291300
-24,65099906;2,44525100
-24,64599906;2,06877400
-24,64099906;2,44525100
